#<block-id>          <base R,G,B,A>   <side R,G,B,A>  
Air                  255,255,255,0    255,255,255,0   
Stone                128,128,128,255  103,103,103,255 
Grass                120,172,70,255   108,78,54,255   
Dirt                 134,96,67,255    108,78,54,255   
Cobblestone          100,100,100,255  81,81,81,255    
Wood                 157,128,79,255   127,103,64,255  
Sapling              120,120,120,0    97,97,97,0      
Bedrock              84,84,84,255     68,68,68,255    
Water                56,68,127,64     56,68,127,64    
StationaryWater      56,68,127,64     56,68,127,64    
Lava                 255,90,0,255     205,73,0,255    
StationaryLava       255,90,0,255     205,73,0,255    
Sand                 218,210,158,255  176,169,128,255 
Gravel               136,126,126,255  110,102,102,255 
GoldOre              143,140,125,255  115,113,101,255 
IronOre              136,130,127,255  110,105,103,255 
CoalOre              115,115,115,255  93,93,93,255    
Log                  102,81,51,255    82,66,41,255    
Leaves               74,131,66,128    60,106,54,128   
Sponge               195,195,50,255   157,157,41,255  
Glass                255,255,255,48   205,205,205,48  
LapisLazuliOre       102,112,134,255  82,91,108,255   
LapisLazuliBlock     29,71,165,255    24,58,133,255   
Dispenser            107,107,107,255  87,87,87,255    
Sandstone            218,210,158,255  176,169,128,255 
NoteBlock            100,67,50,255    81,54,41,255    
Bed                  150,0,0,255      121,0,0,255     
PoweredRail          120,120,120,128  205,177,0,128   
DetectorRail         120,120,120,128  185,0,0,128     
StickyPistonBase     157,192,79,255   81,81,81,255    
None                 0,0,0,255        0,0,0,255       
TallGrass            144,188,39,255   116,152,32,255  
DeadShrub            157,128,79,255   127,103,64,255  
PistonBase           157,128,79,255   81,81,81,255    
PistonPlatform       255,255,255,0    205,205,205,0   
Wool                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
YellowFlower         255,255,0,255    205,205,0,255   
RedRose              255,0,0,255      205,0,0,255     
RedMushroom          0,0,0,0          0,0,0,0         
BrownMushroom        0,0,0,0          0,0,0,0         
GoldBlock            255,237,140,255  205,191,113,255 
IronBlock            217,217,217,255  175,175,175,255 
DoubleStep           200,200,200,255  161,161,161,255 
Step                 200,200,200,255  161,161,161,255 
Brick                86,35,23,255     70,29,19,255    
TNT                  255,0,0,255      205,0,0,255     
Bookcase             191,169,116,255  154,136,94,255  
MossyCobblestone     127,174,125,255  103,140,101,255 
Obsidian             17,13,26,255     14,11,21,255    
Torch                255,225,96,208   157,128,79,255  
Fire                 224,174,21,255   181,140,17,255  
MobSpawner           255,255,255,0    205,205,205,0   
WoodenStairs         191,169,116,255  154,136,94,255  
Chest                191,135,2,255    154,109,2,255   
RedstoneWire         111,1,1,255      90,1,1,255      
DiamondOre           129,140,143,255  104,113,115,255 
DiamondBlock         45,166,152,255   37,134,123,255  
Workbench            169,107,0,255    136,87,0,255    
Crops                144,188,39,255   116,152,32,255  
Soil                 134,96,67,255    108,78,54,255   
Furnace              188,188,188,255  152,152,152,255 
BurningFurnace       221,221,221,255  178,178,178,255 
SignPost             0,0,0,0          0,0,0,0         
WoodenDoor           255,255,255,0    205,205,205,0   
Ladder               255,200,140,0    205,161,113,0   
MinecartTracks       120,120,120,128  97,97,97,128    
CobblestoneStairs    120,120,120,128  97,97,97,128    
WallSign             255,255,255,0    205,205,205,0   
Lever                255,255,255,0    205,205,205,0   
StonePressurePlate   120,120,120,255  97,97,97,255    
IronDoor             255,255,255,0    205,205,205,0   
WoodenPressurePlate  255,255,255,0    205,205,205,0   
RedstoneOre          143,125,125,255  115,101,101,255 
GlowingRedstoneOre   163,145,145,255  132,117,117,255 
RedstoneTorchOff     181,140,64,32    157,128,79,255  
RedstoneTorchOn      255,0,0,176      157,128,79,255  
StoneButton          255,255,255,0    205,205,205,0   
Snow                 255,255,255,255  205,205,205,255 
Ice                  120,120,255,120  97,97,205,120   
SnowBlock            255,255,255,255  205,205,205,255 
Cactus               85,107,47,255    69,87,38,255    
Clay                 144,152,168,255  116,123,136,255 
Reed                 193,234,150,255  156,189,121,255 
Jukebox              125,66,44,255    101,54,36,255   
Fence                88,54,22,200     71,44,18,200    
Pumpkin              227,144,29,255   183,116,24,255  
Bloodstone           194,115,115,255  156,93,93,255   
Slowsand             121,97,82,255    98,78,66,255    
Lightstone           255,188,94,255   205,152,76,255  
Portal               60,13,106,127    49,11,86,127    
Jackolantern         227,144,29,255   183,116,24,255  
Cake                 228,205,206,255  184,165,166,255 
RedstoneRepeaterOn   111,1,1,255      90,1,1,255      
RedstoneRepeaterOff  111,1,1,255      90,1,1,255      
None                 0,0,0,255        0,0,0,255       
Trapdoor             255,255,255,0    205,205,205,0   
EggBlock             128,128,128,255  103,103,103,255 
StoneBrick           128,128,128,255  103,103,103,255 
HugeBrownMushroom    206,174,123,255  166,140,99,255  
HugeRedMushroom      183,31,29,255    148,25,24,255   
IronBars             217,217,217,255  175,175,175,255 
GlassPane            255,255,255,48   205,205,205,48  
Melon                50,200,45,192    41,161,37,192   
PumpkinStem          0,0,0,0          0,0,0,0         
MelonStem            0,0,0,0          0,0,0,0         
Vines                50,89,45,128     41,72,37,128    
FenceGate            88,54,22,200     71,44,18,200    
BrickStairs          86,35,23,255     70,29,19,255    
StoneBrickStairs     128,128,128,255  103,103,103,255 
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
None                 0,0,0,255        0,0,0,255       
